date,symbol,target_close,action,cash,shares,portfolio_value,buy_hold_value,predicted_action
2024-08-21 09:30:00,JFC,250.0,HOLD,0.0,400.24827517696104,100062.06879424026,104166.66666666667,HOLD
2024-08-22 09:30:00,JFC,254.0,HOLD,0.0,400.24827517696104,101663.0618949481,105833.33333333334,HOLD
2024-08-27 09:30:00,JFC,252.39999,HOLD,0.0,400.24827517696104,101022.66065218221,105166.6625,HOLD
2024-08-28 09:30:00,JFC,254.8,HOLD,0.0,400.24827517696104,101983.26051508969,106166.66666666667,HOLD
2024-08-29 09:30:00,JFC,257.60001,HOLD,0.0,400.24827517696104,103103.95968806792,107333.33750000001,HOLD
2024-08-30 09:30:00,JFC,259.79999,HOLD,0.0,400.24827517696104,103984.49788849172,108249.99583333333,HOLD
2024-09-02 09:30:00,JFC,260.0,HOLD,0.0,400.24827517696104,104064.55154600987,108333.33333333334,HOLD
2024-09-03 09:30:00,JFC,261.0,HOLD,0.0,400.24827517696104,104464.79982118684,108750.0,HOLD
2024-09-04 09:30:00,JFC,254.0,HOLD,0.0,400.24827517696104,101663.0618949481,105833.33333333334,HOLD
2024-09-05 09:30:00,JFC,260.0,HOLD,0.0,400.24827517696104,104064.55154600987,108333.33333333334,HOLD
2024-09-06 09:30:00,JFC,255.0,HOLD,0.0,400.24827517696104,102063.31017012507,106250.0,HOLD
2024-09-09 09:30:00,JFC,252.0,HOLD,0.0,400.24827517696104,100862.56534459419,105000.0,HOLD
2024-09-10 09:30:00,JFC,252.6,BUY,0.0,400.24827517696104,101102.71430970036,105250.0,BUY
2024-09-11 09:30:00,JFC,250.0,HOLD,0.0,400.24827517696104,100062.06879424026,104166.66666666667,HOLD
2024-09-12 09:30:00,JFC,256.0,HOLD,0.0,400.24827517696104,102463.55844530203,106666.66666666667,HOLD
2024-09-13 09:30:00,JFC,254.0,HOLD,0.0,400.24827517696104,101663.0618949481,105833.33333333334,HOLD
2024-09-16 09:30:00,JFC,255.0,HOLD,0.0,400.24827517696104,102063.31017012507,106250.0,HOLD
2024-09-17 09:30:00,JFC,260.0,HOLD,0.0,400.24827517696104,104064.55154600987,108333.33333333334,HOLD
2024-09-18 09:30:00,JFC,262.8,HOLD,0.0,400.24827517696104,105185.24671650537,109500.00000000001,HOLD
2024-09-19 09:30:00,JFC,257.0,HOLD,0.0,400.24827517696104,102863.80672047898,107083.33333333334,HOLD
2024-09-20 09:30:00,JFC,270.0,HOLD,0.0,400.24827517696104,108067.03429777948,112500.0,HOLD
2024-09-23 09:30:00,JFC,272.8,SELL,109187.72946827498,0.0,109187.72946827498,113666.66666666667,SELL
2024-09-24 09:30:00,JFC,272.8,HOLD,109187.72946827498,0.0,109187.72946827498,113666.66666666667,HOLD
2024-09-25 09:30:00,JFC,269.0,HOLD,109187.72946827498,0.0,109187.72946827498,112083.33333333334,HOLD
2024-09-26 09:30:00,JFC,270.0,HOLD,109187.72946827498,0.0,109187.72946827498,112500.0,HOLD
2024-09-27 09:30:00,JFC,269.0,HOLD,109187.72946827498,0.0,109187.72946827498,112083.33333333334,HOLD
2024-09-30 09:30:00,JFC,268.6,HOLD,109187.72946827498,0.0,109187.72946827498,111916.66666666669,HOLD
2024-10-01 09:30:00,JFC,268.6,HOLD,109187.72946827498,0.0,109187.72946827498,111916.66666666669,HOLD
2024-10-02 09:30:00,JFC,266.6,HOLD,109187.72946827498,0.0,109187.72946827498,111083.33333333334,HOLD
2024-10-03 09:30:00,JFC,271.0,HOLD,109187.72946827498,0.0,109187.72946827498,112916.66666666667,HOLD
2024-10-04 09:30:00,JFC,269.4,HOLD,109187.72946827498,0.0,109187.72946827498,112250.0,HOLD
2024-10-07 09:30:00,JFC,275.0,HOLD,109187.72946827498,0.0,109187.72946827498,114583.33333333334,HOLD
2024-10-08 09:30:00,JFC,273.0,HOLD,109187.72946827498,0.0,109187.72946827498,113750.0,HOLD
2024-10-09 09:30:00,JFC,274.8,HOLD,109187.72946827498,0.0,109187.72946827498,114500.00000000001,HOLD
2024-10-10 09:30:00,JFC,275.0,HOLD,109187.72946827498,0.0,109187.72946827498,114583.33333333334,HOLD
2024-10-11 09:30:00,JFC,274.0,HOLD,109187.72946827498,0.0,109187.72946827498,114166.66666666667,HOLD
2024-10-14 09:30:00,JFC,275.0,HOLD,109187.72946827498,0.0,109187.72946827498,114583.33333333334,HOLD
2024-10-15 09:30:00,JFC,276.8,HOLD,109187.72946827498,0.0,109187.72946827498,115333.33333333334,HOLD
2024-10-16 09:30:00,JFC,276.8,HOLD,109187.72946827498,0.0,109187.72946827498,115333.33333333334,HOLD
